Ranking,Economy,US dollars)
1,United States,"14,582,400"
2,China,"5,878,629"
3,Japan,"5,497,813"
4,Germany,"3,309,669"
5,France,"2,560,002"
6,United Kingdom,"2,246,079"
7,Brazil,"2,087,890"
8,Italy,"2,051,412"
9,India,"1,729,010"
10,Canada,"1,574,052"
11,Russian Federation,"1,479,819"
12,Spain,"1,407,405"
13,Mexico,"1,039,662"
14,"Korea, Rep.","1,014,483"
15,Australia,"924,843"
16,Netherlands,"783,413"
17,Turkey,"735,264"
18,Indonesia,"706,558"
19,Switzerland,"523,772"
20,Poland,"468,585"
21,Belgium,"467,472"
22,Sweden,"458,004"
23,Norway,"414,462"
24,"Venezuela, RB","387,852"
25,Austria,"376,162"
26,Saudi Arabia,"375,766"
27,Argentina,"368,712"
28,South Africa,"363,704"
29,"Iran, Islamic Rep.","331,015"
30,Thailand,"318,847"
31,Denmark,"310,405"
32,Greece,"304,865"
33,Colombia,"288,189"
34,Finland,"238,801"
35,Malaysia,"237,804"
36,United Arab Emirates,"230,252"
37,Portugal,"228,538"
38,"Hong Kong SAR, China","224,458"
39,Singapore,"222,699"
40,"Egypt, Arab Rep.","218,912"
41,Israel,"217,334"
42,Ireland,"203,892"
43,Chile,"203,443"
44,Philippines,"199,589"
45,Nigeria,"193,669"
46,Czech Republic,"192,152"
47,Pakistan,"174,799"
48,Romania,"161,624"
49,Algeria,"159,426"
50,Peru,"153,845"
51,Kuwait,"148,024"
52,Kazakhstan,"142,987"
53,Ukraine,"137,929"
54,Hungary,"130,419"
55,New Zealand,"126,679"
56,Vietnam,"103,572"
57,Bangladesh,"100,076"
58,Qatar,"98,313"
59,Morocco,"91,196"
60,Slovak Republic,"89,034"
61,Angola,"84,391"
62,Iraq,"82,150"
63,Cuba,"62,705"
64,Libya,"62,360"
65,Sudan,"62,046"
66,Croatia,"60,852"
67,Syrian Arab Republic,"59,103"
68,Ecuador,"58,910"
69,Luxembourg,"55,096"
70,Belarus,"54,713"
71,Dominican Republic,"51,577"
72,Azerbaijan,"51,092"
73,Sri Lanka,"49,552"
74,Slovenia,"47,763"
75,Bulgaria,"47,714"
76,Oman,"46,114"
77,Tunisia,"44,291"
78,Guatemala,"41,190"
79,Uruguay,"40,265"
80,Lebanon,"39,155"
81,Serbia,"39,128"
82,Uzbekistan,"38,982"
83,Lithuania,"36,306"
84,Costa Rica,"34,564"
85,Kenya,"31,409"
86,Ghana,"31,306"
87,Ethiopia,"29,717"
88,Jordan,"27,574"
89,Panama,"26,777"
90,"Yemen, Rep.","26,365"
91,Cyprus,"25,039"
92,Latvia,"24,010"
93,Tanzania,"23,057"
94,Côte d'Ivoire,"22,780"
95,Cameroon,"22,394"
96,El Salvador,"21,796"
97,"Macao SAR, China","21,736"
98,Turkmenistan,"21,074"
99,Bahrain,"20,595"
100,Trinidad and Tobago,"20,398"
101,Bolivia,"19,786"
102,Estonia,"18,674"
103,Paraguay,"18,475"
104,Uganda,"17,011"
105,Bosnia and Herzegovina,"16,888"
106,Zambia,"16,193"
107,Nepal,"15,701"
108,Honduras,"15,400"
109,Botswana,"14,857"
110,Equatorial Guinea,"14,007"
111,Jamaica,"13,995"
112,"Congo, Dem. Rep.","13,145"
113,Gabon,"13,011"
114,Senegal,"12,954"
115,Iceland,"12,594"
116,Namibia,"12,170"
117,"Congo, Rep.","11,898"
118,Albania,"11,786"
119,Afghanistan,"11,757"
120,Georgia,"11,667"
121,Cambodia,"11,343"
122,Brunei Darussalam,"10,732"
123,Mauritius,"9,729"
124,Mozambique,"9,586"
125,Papua New Guinea,"9,480"
126,Armenia,"9,265"
127,Mali,"9,251"
128,"Macedonia, FYR","9,118"
129,Burkina Faso,"8,820"
130,Madagascar,"8,721"
131,Malta,"7,987"
132,Chad,"7,588"
133,"Bahamas, The","7,538"
134,Lao PDR,"7,491"
135,Zimbabwe,"7,474"
136,Haiti,"6,710"
137,Benin,"6,633"
138,Nicaragua,"6,551"
139,Monaco,"6,109"
140,Mongolia,"6,083"
141,Moldova,"5,809"
142,Bermuda,"5,715"
143,Tajikistan,"5,640"
144,Rwanda,"5,628"
145,Kosovo,"5,591"
146,Niger,"5,549"
147,Malawi,"5,106"
148,Liechtenstein,"4,826"
149,Kyrgyz Republic,"4,616"
150,Guinea,"4,511"
151,Montenegro,"4,004"
152,Andorra,"3,712"
153,Swaziland,"3,645"
154,Mauritania,"3,636"
155,Suriname,"3,252"
156,Barbados,"3,203"
157,Togo,"3,153"
158,Fiji,"3,009"
159,Guyana,"2,222"
160,Faeroe Islands,"2,198"
161,Lesotho,"2,132"
162,Eritrea,"2,117"
163,Central African Republic,"2,013"
164,Sierra Leone,"1,905"
165,San Marino,"1,900"
166,Cape Verde,"1,648"
167,Burundi,"1,611"
168,Bhutan,"1,516"
169,Maldives,"1,480"
170,Belize,"1,432"
171,Greenland,"1,268"
172,Djibouti,"1,049"
173,Antigua and Barbuda,"1,015"
174,Liberia,986
175,Seychelles,937
176,St. Lucia,932
177,Guinea-Bissau,879
178,"Gambia, The",807
179,Vanuatu,729
180,Timor-Leste,701
181,Solomon Islands,679
182,Grenada,628
183,Samoa,565
184,St. Vincent and the Grenadines,562
185,Comoros,541
186,St. Kitts and Nevis,526
187,Dominica,383
188,Tonga,357
189,"Micronesia, Fed. Sts.",287
190,São Tomé and Principe,197
191,Palau,170
192,Marshall Islands,156
193,Kiribati,151
